Rank,Name,GM,W-L,FGM,FGA,FG%
291,Eastern Ill. (OVC) ,31,12-19 ,732,1726,42.4
292,Illinois St. (MVC) ,33,18-15 ,813,1917,42.4
293,San Francisco (WCC) ,33,18-15 ,807,1903,42.4
294,South Ala. (Sun Belt) ,31,14-17 ,733,1729,42.4
295,Green Bay (Horizon) ,33,13-20 ,859,2027,42.4
296,Montana St. (Big Sky) ,32,13-19 ,817,1929,42.4
297,Indiana St. (MVC) ,31,13-18 ,762,1804,42.2
298,Quinnipiac (MAAC) ,33,12-21 ,787,1864,42.2
299,Temple (AAC) ,30,16-14 ,770,1825,42.2
300,Syracuse (ACC) ,32,20-12 ,731,1733,42.2
301,Morgan St. (MEAC) ,30,12-18 ,739,1753,42.2
302,Ole Miss (SEC) ,31,12-19 ,812,1927,42.1
303,Bowling Green (MAC) ,32,16-16 ,827,1963,42.1
304,Florida A&M (MEAC) ,33,9-24 ,806,1918,42
305,Siena (MAAC) ,32,8-24 ,752,1790,42
306,James Madison (CAA) ,32,10-22 ,812,1933,42
307,UNI (MVC) ,32,16-16 ,720,1714,42
308,Saint Peter's (MAAC) ,32,14-18 ,741,1765,42
309,Saint Louis (Atlantic 10) ,31,16-15 ,690,1644,42
310,Grambling (SWAC) ,31,17-14 ,777,1852,42
311,Saint Joseph's (Atlantic 10) ,30,15-15 ,772,1841,41.9
312,Colorado St. (MWC) ,31,11-20 ,786,1877,41.9
313,Houston Baptist (Southland) ,31,6-25 ,860,2058,41.8
314,Stony Brook (America East) ,32,13-19 ,779,1866,41.7
315,SIUE (OVC) ,30,9-21 ,734,1759,41.7
316,Air Force (MWC) ,30,12-18 ,701,1682,41.7
317,Delaware St. (MEAC) ,32,4-28 ,742,1781,41.7
318,CSU Bakersfield (WAC) ,29,12-17 ,668,1605,41.6
319,South Fla. (AAC) ,31,10-21 ,680,1636,41.6
320,St. Francis Brooklyn (NEC) ,31,13-18 ,784,1889,41.5
321,UConn (AAC) ,31,14-17 ,734,1772,41.4
322,The Citadel (SoCon) ,32,11-21 ,889,2148,41.4
323,Longwood (Big South) ,33,7-26 ,728,1763,41.3
324,Northwestern St. (Southland) ,29,4-25 ,692,1678,41.2
325,California (Pac-12) ,31,8-23 ,747,1816,41.1
326,Robert Morris (NEC) ,33,16-17 ,794,1932,41.1
327,Western Caro. (SoCon) ,32,13-19 ,774,1885,41.1
328,Fordham (Atlantic 10) ,30,9-21 ,666,1623,41
329,Bryant (NEC) ,31,3-28 ,771,1881,41
330,Fla. Atlantic (C-USA) ,30,12-18 ,762,1861,40.9
331,Chicago St. (WAC) ,31,3-28 ,752,1840,40.9
332,Alabama St. (SWAC) ,31,8-23 ,751,1838,40.9
333,Maine (America East) ,32,6-26 ,765,1873,40.8
334,Rutgers (Big Ten) ,34,15-19 ,830,2042,40.6
335,Rice (C-USA) ,31,7-24 ,711,1751,40.6
336,Pittsburgh (ACC) ,31,8-23 ,654,1612,40.6
337,UMKC (WAC) ,31,10-21 ,732,1805,40.6
338,UTRGV (WAC) ,31,15-16 ,790,1949,40.5
339,Savannah St. (MEAC) ,31,15-16 ,922,2286,40.3
340,Southern U. (SWAC) ,32,15-17 ,761,1887,40.3
341,New Hampshire (America East) ,31,10-21 ,725,1803,40.2
342,UC Riverside (Big West) ,30,9-21 ,693,1724,40.2
343,Cal Poly (Big West) ,30,9-21 ,707,1766,40
344,Northern Ariz. (Big Sky) ,32,5-27 ,698,1750,39.9
345,VMI (SoCon) ,30,9-21 ,688,1729,39.8
346,Alabama A&M (SWAC) ,31,3-28 ,673,1696,39.7
347,South Carolina (SEC) ,31,16-15 ,706,1781,39.6
348,UMES (MEAC) ,32,7-25 ,710,1844,38.5
349,Mississippi Val. (SWAC) ,32,4-28 ,758,1979,38.3
350,Jackson St. (SWAC) ,31,12-20 ,693,1874,37
351,Coppin St. (MEAC) ,32,5-27 ,657,1824,36
